Added,Qty,Value,Device,Package,Parts,Description,DESIGNER,PROD_ID,VERSION
y,1,,CONN_04,1X04,J1,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,CONN-09696,
y,3,100K,RESISTOR0805_NOOUTLINE,0805-NO,"R1, R7, R17",Resistors,,,
y,1,10K,RESISTOR0805_NOOUTLINE,0805-NO,R16,Resistors,,,
y,3,10uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,"C2, C7, C8",Ceramic Capacitors,,,
y,1,15K,RESISTOR0805_NOOUTLINE,0805-NO,THERM,Resistors,,,
y,2,1K,RESISTOR0805_NOOUTLINE,0805-NO,"R8, R14",Resistors,,,
y,1,2.2uH/NRH2412T2R2MNGH,INDUCTORNRH2412T,INDUCTOR_TAIYOYUDEN_NRH2412T,L1,Inductors,,,
y,1,22uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C1,Ceramic Capacitors,,,
y,1,270K,RESISTOR0805_NOOUTLINE,0805-NO,R6,Resistors,,,
n/a,1,FRAME-LETTER-MICHAELNO_PACKAGE,FRAME-LETTER-MICHAELNO_PACKAGE,DUMMY,FRAME1,Schematic Frame - Letter,Nobody,,v01
y,1,GREEN,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,DONE,LED,,,
y,1,JST 2-PH,BATTERY,JSTPH2,B1,CR1220 SMT - Digikey: 3001K-ND,,,
y,1,LM3671MF-3.3/NOPB,VREG_LM3671,SOT23-5,U1,LM3671 - 600mA DC-DC Step-Down Converter,,,
y,1,MCP73871,MCP73871,QFN20_4MM,U3,MCP73871 Lithium Polymer Battery Charger,,,
y,1,MicroUSB,USBMICRO_20329,4UCONN_20329,CN4,USB Connectors,,,
y,1,ORANGE,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,CHRG/LBO,LED,,,
